ENTREZG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
25361	-0.482501619283576	-1.39716423642919	8.72805298054616	-2.78421873846033	0.020950175427476	0.0741412589895127	-4.23681709676103
286993	-0.22135828862687	-1.1658306924509	5.02647799542243	-2.7842135776471	0.0209503534427667	0.0741412589895127	-4.23682565594452
58954	-0.433229051958166	-1.35025234324019	5.53365781493311	-2.7821952728931	0.021020089998152	0.0743271758445292	-4.24017291278373
282636	0.201528514556493	1.14991602925176	3.3322710267585	2.77815611575728	0.0211603595534755	0.0747619898859914	-4.24687109638648
81528	0.156334395997547	1.1144519348431	2.63109707262142	2.77697124932671	0.0212016868520373	0.0748468046467756	-4.24883583267627
25056	-0.405208689865108	-1.3242804574062	5.46638802456305	-2.77578135414328	0.0212432719790377	0.0749323903848341	-4.25080884199753
29172	0.123037468301767	1.08902529809683	1.68963997839138	2.77367820970417	0.0213169763816532	0.0751310399226128	-4.25429598176896
690895	0.25291986736476	1.19161638594069	3.93221521082635	2.77294485875331	0.0213427375259669	0.0751605288098638	-4.25551187270095
171290	0.515849653385964	1.42983597205677	1.31062111786516	2.77096987519118	0.0214122719007552	0.075343995833195	-4.25878625518131
25315	-0.857075709930303	-1.811363020476	4.5227902614205	-2.76963594886253	0.0214593661911583	0.0754482679511759	-4.26099770484754
84349	-0.195864671906583	-1.14541045082128	2.19477919873761	-2.76885559094062	0.0214869654368879	0.075483884270563	-4.26229138149174
117019	0.214838082150641	1.16057365252645	4.85523641950235	2.76440963262248	0.0216448957822422	0.0759711465456297	-4.26966132234157
25365	0.227946825352297	1.17116701371681	2.2991759177097	2.76396285094504	0.0216608314150002	0.0759711465456297	-4.2704018862271
79130	-0.16809930473011	-1.12357723933029	3.08745884581585	-2.76313763632265	0.0216902961311479	0.0759921380023255	-4.27176969643723
84026	-0.212596511482086	-1.15877182483624	7.61827415935345	-2.76281044583775	0.021701989885413	0.0759921380023255	-4.2723120120401
29659	-0.241650782842669	-1.18234476854316	5.14559867142084	-2.76099635353103	0.0217669414270464	0.0761578574139819	-4.27531875864457
25646	0.114722898065827	1.08276705585855	1.74440358012752	2.75726336059279	0.0219012177793292	0.0765656650683507	-4.28150544424245
AFFX-BioB-M_at	-0.28762312552596	-1.22062760710319	7.51692593327855	-2.75618834467317	0.0219400417721701	0.0766393860125684	-4.28328693570627
54404	0.142716541961798	1.10398191753909	1.84656060284785	2.75541734823953	0.0219679291089688	0.0766748155733877	-4.28456457663424
310738	-0.267072850024847	-1.20336378926973	3.24913372269175	-2.75443447179471	0.0220035323541568	0.0767370970962966	-4.28619328578836
312563	-0.165209409921348	-1.12132882922263	2.35553459011388	-2.75364763389838	0.022032076536158	0.0767746796070472	-4.28749710653998
114612	-0.304714636935513	-1.23517429721151	8.8577133567333	-2.75065126698116	0.0221411199531962	0.0770924893777282	-4.29246190695776
297990	0.280203118506725	1.21436584416613	6.75884797105693	2.75007550841466	0.0221621354440641	0.0771035324104677	-4.29341585049165
29600	0.101961623071371	1.07323173712668	2.09605932201846	2.74789769501699	0.022241809749347	0.0773184713812778	-4.2970239943319
